id,id_index,kode_provinsi,nama_provinsi,periode_update,cara_keluar,kategori,jumlah,satuan,tahun
1,1,35,JAWA TIMUR,2018-01,MENINGGAL,NON RUJUKAN,16,PASIEN,2018
1,2,35,JAWA TIMUR,2018-01,MENINGGAL,RUJUKAN,26,PASIEN,2018
1,3,35,JAWA TIMUR,2018-01,MENINGGAL,TOTAL,42,PASIEN,2018
2,4,35,JAWA TIMUR,2018-01,DIRUJUK,NON RUJUKAN,1,PASIEN,2018
2,5,35,JAWA TIMUR,2018-01,DIRUJUK,RUJUKAN,1,PASIEN,2018
2,6,35,JAWA TIMUR,2018-01,DIRUJUK,TOTAL,2,PASIEN,2018
3,7,35,JAWA TIMUR,2018-01,PULANG PAKSA,NON RUJUKAN,42,PASIEN,2018
3,8,35,JAWA TIMUR,2018-01,PULANG PAKSA,RUJUKAN,22,PASIEN,2018
3,9,35,JAWA TIMUR,2018-01,PULANG PAKSA,TOTAL,64,PASIEN,2018
4,10,35,JAWA TIMUR,2018-01,PULANG,NON RUJUKAN,742,PASIEN,2018
4,11,35,JAWA TIMUR,2018-01,PULANG,RUJUKAN,109,PASIEN,2018
4,12,35,JAWA TIMUR,2018-01,PULANG,TOTAL,851,PASIEN,2018
5,13,35,JAWA TIMUR,2018-01,PULANG PAKSA,NON RUJUKAN,0,PASIEN,2018
5,14,35,JAWA TIMUR,2018-01,PULANG PAKSA,RUJUKAN,0,PASIEN,2018
5,15,35,JAWA TIMUR,2018-01,PULANG PAKSA,TOTAL,0,PASIEN,2018
6,16,35,JAWA TIMUR,2018-01,DIRAWAT,NON RUJUKAN,736,PASIEN,2018
6,17,35,JAWA TIMUR,2018-01,DIRAWAT,RUJUKAN,811,PASIEN,2018
6,18,35,JAWA TIMUR,2018-01,DIRAWAT,TOTAL,1547,PASIEN,2018
7,19,35,JAWA TIMUR,2018-02,MENINGGAL,NON RUJUKAN,21,PASIEN,2018
7,20,35,JAWA TIMUR,2018-02,MENINGGAL,RUJUKAN,29,PASIEN,2018
7,21,35,JAWA TIMUR,2018-02,MENINGGAL,TOTAL,50,PASIEN,2018
8,22,35,JAWA TIMUR,2018-02,DIRUJUK,NON RUJUKAN,0,PASIEN,2018
8,23,35,JAWA TIMUR,2018-02,DIRUJUK,RUJUKAN,0,PASIEN,2018
