id,id_index,kode_provinsi,nama_provinsi,periode_update,klinik,kategori,jumlah,satuan,tahun
35,10435,35,JAWA TIMUR,2018-02,THT,PEREMPUAN,634,PASIEN,2018
35,10335,35,JAWA TIMUR,2018-02,THT,LAKI LAKI,638,PASIEN,2018
34,10234,35,JAWA TIMUR,2018-02,MATA,TOTAL,1681,PASIEN,2018
34,10134,35,JAWA TIMUR,2018-02,MATA,PEREMPUAN,888,PASIEN,2018
34,10034,35,JAWA TIMUR,2018-02,MATA,LAKI LAKI,793,PASIEN,2018
33,9933,35,JAWA TIMUR,2018-02,IKA,TOTAL,1437,PASIEN,2018
33,9833,35,JAWA TIMUR,2018-02,IKA,PEREMPUAN,604,PASIEN,2018
58,17458,35,JAWA TIMUR,2018-03,NEUROLOGI,TOTAL,1532,PASIEN,2018
58,17358,35,JAWA TIMUR,2018-03,NEUROLOGI,PEREMPUAN,813,PASIEN,2018
58,17258,35,JAWA TIMUR,2018-03,NEUROLOGI,LAKI LAKI,719,PASIEN,2018
57,17157,35,JAWA TIMUR,2018-03,CARDIOLOGI,TOTAL,2407,PASIEN,2018
57,17057,35,JAWA TIMUR,2018-03,CARDIOLOGI,PEREMPUAN,1201,PASIEN,2018
57,16957,35,JAWA TIMUR,2018-03,CARDIOLOGI,LAKI LAKI,1206,PASIEN,2018
56,16856,35,JAWA TIMUR,2018-03,THT,TOTAL,1508,PASIEN,2018
56,16756,35,JAWA TIMUR,2018-03,THT,PEREMPUAN,770,PASIEN,2018
56,16656,35,JAWA TIMUR,2018-03,THT,LAKI LAKI,738,PASIEN,2018
66,19666,35,JAWA TIMUR,2018-04,KOMPLEMENTER,LAKI LAKI,4,PASIEN,2018
64,19264,35,JAWA TIMUR,2018-04,DALAM,TOTAL,3850,PASIEN,2018
64,19164,35,JAWA TIMUR,2018-04,DALAM,PEREMPUAN,2268,PASIEN,2018
64,19064,35,JAWA TIMUR,2018-04,DALAM,LAKI LAKI,1582,PASIEN,2018
63,18963,35,JAWA TIMUR,2018-03,KONSULTASI GIZI,TOTAL,233,PASIEN,2018
63,18863,35,JAWA TIMUR,2018-03,KONSULTASI GIZI,PEREMPUAN,134,PASIEN,2018
63,18763,35,JAWA TIMUR,2018-03,KONSULTASI GIZI,LAKI LAKI,99,PASIEN,2018
